Place,Weight (lbs),Grower Name,City,State/Prov,Country,GPC Site,Seed (Mother),Pollinator (Father),OTT,Est. Weight,Pct. Chart
25,236.30,"Scarlassara, Fratelli",,Emilia-Romagna,Italy,Miss Anguria a Novellara,245 Scarlassara,open,199.0,220.00,7.0
69,190.10,"Brioni, Flavio",,Emilia-Romagna,Italy,Miss Anguria a Novellara,245 Scarlassara,open,187.0,185.00,3.0
84,163.50,"Bartoli, Roberto e Federico",,Emilia-Romagna,Italy,Miss Anguria a Novellara,245 Scarlassara,open,175.0,153.00,7.0
85,161.80,"Al, Molein",,Emilia-Romagna,Italy,Miss Anguria a Novellara,245 Scarlassara,open,177.0,158.00,2.0
121,125.80,"Zarantonello, Matteo",,Emilia-Romagna,Italy,Miss Anguria a Novellara,245 Scarlassara,open,160.0,118.00,7.0
132,120.00,"Bartoli, Ivan e William",,Emilia-Romagna,Italy,Miss Anguria a Novellara,245 Scarlassara,open,155.0,109.00,10.0
141,111.10,"Bartoli, Gianpaolo e Gabriella",,Emilia-Romagna,Italy,Miss Anguria a Novellara,245 Scarlassara,open,153.0,105.00,6.0
150,105.10,"Torelli, Mauro",,Emilia-Romagna,Italy,Miss Anguria a Novellara,245 Scarlassara,open,150.0,98.00,7.0
152,103.60,"Chiti, Davide",,Emilia-Romagna,Italy,Campionato dello Zuccone,,,156.0,110.00,-6.0
168,83.90,terra e anyma,,Emilia-Romagna,Italy,Miss Anguria a Novellara,245 Scarlassara,open,142.0,84.00,0.0
169,82.10,"maurilli, loredana",,Emilia-Romagna,Italy,Miss Anguria a Novellara,245 Scarlassara,open,138.0,79.00,4.0
