title,links,authors
The Elements of Style,/result/title?id=9199819950029,William Strunk
The Craft of Scientific Presentations: Critical Steps to Succeed and Critical Errors to Avoid,/result/title?id=8297876850707,Michael Alley
Chemistry and Chemical Reactivity,/result/title?id=65017214971298,"Paul M. Treichel, John C. Kotz, Paul Treichel"
Essential Algebra for Chemistry Students,/result/title?id=41979010351797,David W. Ball
The Feynman Lectures on Physics,/result/title?id=8323646833678,Richard Phillips Feynman
Biological Science,/result/title?id=33028298506982,Scott Freeman
An Introduction to Dynamic Meteorology,/result/title?id=9002251772830,James R. Holton
Physics for Scientists and Engineers,/result/title?id=32598801778758,Raymond A. Serway
Geophysical Fluid Dynamics,/result/title?id=7602092430926,Joseph Pedlosky
Writing Papers in the Biological Sciences,/result/title?id=33835752359272,Vicky McMillan
Alcibiades,/result/title?id=61924838546397,Plutarch
Mathematical Methods in the Physical Sciences,/result/title?id=8718783931546,Mary L. Boas
Atmosphere-Ocean Dynamics,/result/title?id=50792283243920,Adrian E. Gill
Introduction to Geophysical Fluid Dynamics,/result/title?id=33337536151615,Benoit Cushman-Roisin
Philosophic Classics,/result/title?id=8134668567196,Forrest E. Baird
"Div, Grad, Curl, and All That: An Informal Text on Vector Calculus",/result/title?id=7928509949424,H. M. Schey
Brock Biology of Microorganisms,/result/title?id=32822140076391,Michael T. Madigan
How to Write and Publish a Scientific Paper,/result/title?id=7524782967270,Robert A. Day
Meno,/result/title?id=9036611695339,Plato
A Short Guide to Writing About Biology,/result/title?id=32976758900349,Jan A. Pechenik
Flora of Alaska and Adjacent Parts of Canada,/result/title?id=56891136803962,Jacob Peter Anderson
Human Anatomy and Physiology,/result/title?id=32804960208506,Elaine Nicpon Marieb
Human Anatomy and Physiology Laboratory Manual,/result/title?id=32530082300371,Elaine Nicpon Marieb
Essential Cell Biology,/result/title?id=32684701125364,Bruce Alberts
Flora of the Yukon Territory,/result/title?id=42880953485349,William J. Cody
The Canterbury Tales,/result/title?id=7507602833551,Geoffrey Chaucer
No Exit,/result/title?id=7507602834185,Jean-Paul Sartre
Fundamentals of Physics,/result/title?id=7945689711853,David Halliday
Animal Behavior: An Evolutionary Approach,/result/title?id=34479997452643,John Alcock
"Introduction to General, Organic and Biochemistry",/result/title?id=32598801778786,Frederick A. Bettelheim
"Handbook of Mathematical Functions With Formulas, Graphs, and Mathematical Tables",/result/title?id=7791070888756,Milton Abramowitz
Plant Identification Terminology: An Illustrated Glossary,/result/title?id=46342697124823,James G. Harris
The Power of Testing Memory: Basic Research and Implications for Educational Practice,/result/title?id=8083128762816,"Henry L. Roediger, Jeffrey D. Karpicke"
A Handbook of Silicate Rock Analysis,/result/title?id=8005819181954,P. J. Potts
Democracy,/result/title?id=41274635715653,Thomas Jefferson
The Circumpolar Arctic Vegetation Map,/result/title?id=9062381305835,"Donald A. Walker, Martha K. Raynolds, Fred J. A. Daniëls"
Energy and Trace-Gas Fluxes Across a Soil pH Boundary in the Arctic,/result/title?id=8572754914581,"D. A. Walker, N. A. Auerbach, J. G. Bockheim"
Lehninger Principles of Biochemistry,/result/title?id=62517543994313,"Michael M. Cox, David L. Nelson"
Mathematical Methods for Physicists,/result/title?id=8126078444669,George B. Arfken
Using Geochemical Data,/result/title?id=8014409485836,Hugh R. Rollinson
Writing Science: How to Write Papers That Get Cited and Proposals That Get Funded,/result/title?id=33234456937358,Joshua Schimel
Retrieval Practice Produces More Learning Than Elaborative Studying With Concept Mapping,/result/title?id=8907762493735,"J. D. Karpicke, Jeffrey D. Karpicke, J. R. Blunt"
Organic Chemistry,/result/title?id=32487132629911,John McMurry
The Problems of Philosophy,/result/title?id=8237747722021,Bertrand Russell
Evolution,/result/title?id=33019708573322,Douglas J. Futuyma
Chemistry,/result/title?id=32710470926438,Raymond Chang
A Primer of Ecology,/result/title?id=46574625358604,Nicholas J. Gotelli
Weeds of California and Other Western States,/result/title?id=60945586017621,Joseph M. DiTomaso
Aims and Methods of Vegetation Ecology,/result/title?id=55808805044314,Dieter Mueller-Dombois
Fundamentals of Atmospheric Dynamics and Thermodynamics,/result/title?id=8126078455846,C. Riegel
