File No,CTB No,API No,Well Type,Well Status,Status Date,DTD,Location,Operator,Well Name,Field
99119,,3300399119,ST,DRY,2/2/1980,1594.0,NWNW 9-137-58,"RUSSELL DRILLING COMPANY, INC.",MARVIN NELSON 1,WILDCAT
668,,3309300009,OG,DRY,11/21/1954,3700.0,SESW 25-137-67,CALVERT EXPLORATION CO.,MARGARET MEYERS 1,WILDCAT
7415,,3309300021,OG,DRY,12/12/1979,3885.0,NENE 28-137-67,KISSINGER PETROLEUM CORP.,STERN 1-28,WILDCAT
84,,3309300002,OG,DRY,6/22/1952,3374.0,NENE 30-137-67,S. D. JOHNSON DRILLING CO.,JOHN RATH 1,WILDCAT
145,,3301500002,OG,DRY,11/1/1952,6185.0,NWNW 32-137-76,CONTINENTAL OIL CO.,PAUL H. MCCAY 1,WILDCAT
756,,3301500008,OG,DRY,11/16/1954,6157.0,SESE 32-137-77,CAROLINE HUNT TRUST ESTATE,ROBERT A. NICHOLSON 1,WILDCAT
5018,,3305900016,OG,DRY,2/12/1971,5086.0,NESE 17-137-82,CALVERT DRILLING & ANMAR OIL & GAS CORP.,H. GRANT UNKENHOLZ 1,WILDCAT
3978,,3305900010,OG,DRY,11/30/1965,7613.0,SENW 34-137-83,"AUSTRAL OIL COMPANY, INC.",JOHN J. LEINGANG 1,WILDCAT
8395,,3305900033,OG,DRY,5/14/1981,9129.0,SWSE 1-137-87,SUN EXPLORATION & PRODUCTION CO.,JACOB LARSON 1,WILDCAT
7797,,3305900029,OG,DRY,8/10/1980,10257.0,SESE 14-137-87,"TEXAS PACIFIC OIL COMPANY, INC.",BACHLER 1,WILDCAT
5011,,3305900013,OG,DRY,12/23/1970,5843.0,NESE 25-137-87,CALVERT DRILLING & ANMAR OIL & GAS CORP.,ANNA BACHLER 1,WILDCAT
7020,,3303700023,OG,DRY,8/3/1979,11027.0,SENE 5-137-88,"TEXAS PACIFIC OIL COMPANY, INC.",WILLIAM STECKLER 1,WILDCAT
8665,,3308900253,OG,DRY,7/19/1981,11300.0,NESW 4-137-92,GULF OIL CORP.,KILZER 1-4-4B,WILDCAT
5142,,3308900126,OG,DRY,1/21/1972,10500.0,SENE 9-137-92,BRIDGER PETROLEUM CORP.,B. KILZER 1,BUFFALO CREEK
4134,,3308900022,OG,PA,6/5/1996,10425.0,NWSE 15-137-92,PINTAIL PETROLEUM INC.,ADAM SCHANK 1,BUFFALO CREEK
4269,,3308900043,SWD,DRY,6/7/1996,4965.0,NWSE 15-137-92,PINTAIL PETROLEUM INC.,ADAM SCHANK (NCT-1) 1-A,BUFFALO CREEK
4182,,3308900025,OG,DRY,12/31/1966,10425.0,CSW 23-137-92,TEXACO INC.,ADAM SCHANK NCT-1 2,WILDCAT
6243,,3308900208,OG,DRY,10/7/1977,10428.0,SENW 26-137-92,ENERGETICS OPERATING CO.,MARTIN-KILZER 1,WILDCAT
10430,,3308900306,OG,DRY,12/17/1983,10990.0,NENW 36-137-92,GULF OIL CORP.,MESSER STATE 1-36-1B,WILDCAT
21987,,3308900668,OG,PNC,12/12/2014,,SWSE 8-137-95,"CHESAPEAKE OPERATING, INC.",MOREL 8-137-95 A 1H,WILDCAT
8166,,3308900245,SWD,PA,9/19/2012,11277.0,SWSE 17-137-95,"WESCO OPERATING, INC.",PRANGE 1-17,SCHEFIELD
8837,,3308900254,OG,PA,1/3/2003,12050.0,SWSE 17-137-95,"WESCO OPERATING, INC.",PRANGE 1-17A,SCHEFIELD
14652,,3308900537,SWD,PA,7/29/2009,12083.0,SESE 19-137-95,FORTSON OIL COMPANY,MADLER 1,SCHEFIELD
14518,114518.0,3308900518,OG,PA,7/27/2009,10850.0,N2N2 20-137-95,FORTSON OIL COMPANY,KOPPINGER 1,SCHEFIELD
14656,,3308900538,OG,PA,11/20/2003,10800.0,NESW 20-137-95,FORTSON OIL COMPANY,KOPPINGER 2,SCHEFIELD
3160,,3308900026,OG,DRY,8/10/1962,10150.0,SENW 20-137-95,AMERADA HESS CORPORATION,LOUIS KOPPINGER 1,SCHEFIELD
5255,,3308900133,OG,DRY,2/17/1973,11430.0,NESW 22-137-95,CONTINENTAL OIL CO.,FEIMER-ANGER 1,WILDCAT
14717,,3308900541,OG,PNC,8/24/1998,,NWSW 29-137-95,FORTSON OIL COMPANY,MADLER 2,SCHEFIELD
14773,,3308900548,OG,DRY,11/15/1997,10875.0,SENW 29-137-95,FORTSON OIL COMPANY,BIEL UNIT 1,SCHEFIELD
4198,,3308900027,OG,DRY,12/15/1966,8665.0,SENW 29-137-95,"PEL-TEX, INC. & CONOCO",BIEL-DREIS 1,WILDCAT
14718,,3308900542,OG,PNC,8/24/1998,,NENE 30-137-95,FORTSON OIL COMPANY,MADLER 3,SCHEFIELD
21976,,3308900665,OG,PNC,3/8/2013,,SESW 7-137-96,"CHESAPEAKE OPERATING, INC.",KRANK 7-137-96 A 1H,WILDCAT
4702,,3308900076,OG,DRY,8/13/1969,5650.0,NWSW 15-137-96,LADD PETROLEUM CORP.,P. R. DUKART 1,WILDCAT
22004,,3308900670,OG,PNC,3/8/2013,,SWSW 8-137-97,"CHESAPEAKE OPERATING, INC.",JILEK 8-137-97 A 1H,WILDCAT
5143,,3308900127,OG,DRY,1/22/1972,11860.0,NENW 9-137-97,LONE STAR PRODUCING CO.,K. WANNER 1,WILDCAT
810,,3308900005,OG,DRY,3/23/1955,9295.0,NWNW 9-137-97,"SOUTHERN PRODUCTION COMPANY, INC.",FRANK J. WANNER 1,WILDCAT
21143,,3308900647,OG,PA,10/24/2013,20269.0,SESE 21-137-97,"CHESAPEAKE OPERATING, INC.",SCHOCH 21-137-97 A 1H,WILDCAT
5482,,3308900165,OG,DRY,10/12/1974,9120.0,NWSW 2-137-98,ANADARKO PRODUCTION CO.,DECKERS A 1,WILDCAT
344,,3308900001,OG,DRY,9/20/1953,10480.0,SWNE 11-137-98,PLYMOUTH OIL CO.,FRANK FISCHER 1,WILDCAT
22630,,3308900693,OG,PNC,3/8/2013,,NWNW 17-137-98,"CHESAPEAKE OPERATING, INC.",BURWICK 17-137-98 A 1H,WILDCAT
22223,122223.0,3308900680,OG,TA,3/15/2022,13950.0,SWSW 9-137-99,"MEDORA MINERALS, LLC",LOURDES 16-15 1TH,LOURDES
4845,,3308900093,OG,DRY,1/7/1970,8165.0,NENE 9-137-99,SHELL OIL CO.,NICK G. OE ET AL 41-9,WILDCAT
5717,,3308900192,OG,DRY,1/11/1976,9070.0,SWSE 9-137-99,"WAINOCO, INC.",OE 34-9,WILDCAT
9459,,3308900273,OG,DRY,3/24/1982,9150.0,NWNE 11-137-99,INEXCO OIL CO.,EDITH 1-11,WILDCAT
14528,,3308900520,OG,DRY,12/20/1996,10200.0,NWNW 12-137-99,FORTSON OIL COMPANY,REISENAUER 1,WILDCAT
6438,,3308900214,OG,DRY,4/15/1978,9100.0,NESW 14-137-99,SUPRON ENERGY CORP.,HECK-STATE OF NORTH DAK. ET AL 1,WILDCAT
1574,,3308900010,OG,DRY,11/22/1957,9444.0,NWNW 15-137-99,NORTHERN PUMP CO.,C. BRAUN 1,WILDCAT
14577,,3308900523,OG,DRY,1/9/1997,8150.0,E2SE 24-137-99,FORTSON OIL COMPANY,RIVARD 1,WILDCAT
4830,,3308900089,OG,DRY,4/25/1995,8155.0,SWNW 31-137-99,APACHE CORPORATION,E. BELL ET AL 12-31,ROCKY RIDGE
4851,,3308900095,OG,PA,12/13/1992,8195.0,NESW 31-137-99,"TURTLE MOUNTAIN GAS & OIL, INC.",E. BELL ET AL 23-31,ROCKY RIDGE
9753,,3308900281,OG,PA,4/17/1984,8150.0,SWSW 32-137-99,"OVERTHRUST RESOURCES, LTD.",STATE - SCHWARTZ 1,ROCKY RIDGE
10827,,3300701001,OG,DRY,5/13/1984,8120.0,NESW 1-137-100,"BWAB, INC.",KNIEREM 1-23,WILDCAT
5148,,3300700145,OG,PA,11/17/1978,9255.0,NENW 2-137-100,"ENSERCH EXPLORATION, INC.",ALFRED SCHWARTZ 1,ROCKY RIDGE
5195,,3300700149,OG,DRY,11/17/1978,12000.0,SENE 2-137-100,"ENSERCH EXPLORATION, INC.",ALFRED SCHWARTZ B 1,ROCKY RIDGE
7574,,3300700522,OG,DRY,6/24/1980,11990.0,NENW 2-137-100,"TOM BROWN, INC.",SCHWARTZ 2-21,ROCKY RIDGE
10687,,3300700989,OG,DRY,4/12/1984,9378.0,SWNE 6-137-100,UNION TEXAS PETROLEUM CORP.,SMITH 6-1,WILDCAT
11640,,3300701077,OG,DRY,9/6/1985,9350.0,NWSW 6-137-100,MCMORAN OIL & GAS CO.,RAINS 1-6,WILDCAT
3072,,3300700051,OG,DRY,4/30/1962,8287.0,SESE 9-137-100,PAN AMERICAN PETROLEUM CORP.,USA-ADAH G. MACAULEY 2,ROCKY RIDGE
5544,,3300700166,OG,DRY,2/3/1975,8341.0,SWSE 9-137-100,"FARMERS UNION CENTRAL EXCHANGE, INC.",FEDERAL 15-9,ROCKY RIDGE
3024,,3300700050,OG,DRY,11/5/1961,8240.0,SESW 10-137-100,PAN AMERICAN PETROLEUM CORP.,USA - A. MACAULEY 1,ROCKY RIDGE
4806,,3300700137,OG,DRY,11/26/1969,8285.0,SWSW 10-137-100,"FARMERS UNION CENTRAL EXCHANGE, INC.",FEDERAL 14-10,ROCKY RIDGE
6042,,3300700196,OG,DRY,2/4/1977,8190.0,NWSW 13-137-100,"ENSERCH EXPLORATION, INC.",WOG ESTATE 1,ROCKY RIDGE
1396,,3300700018,OG,DRY,4/4/1957,8235.0,NWSW 14-137-100,SUN EXPLORATION & PRODUCTION CO.,E. A. SMITH 1,ROCKY RIDGE
8483,,3300700692,OG,DRY,8/5/1981,12000.0,SESW 14-137-100,POGO PRODUCING CO.,HECKER 1-14,ROCKY RIDGE
1304,,3300700017,OG,PA,5/13/1983,9382.0,SESE 15-137-100,TXO PRODUCTION CORP.,LUCY FRITZ 1,ROCKY RIDGE
1522,,3300700021,OG,PA,5/17/1983,8177.0,NWSE 15-137-100,TEXAS OIL & GAS CORP.,LUCY FRITZ 2,ROCKY RIDGE
1665,,3300700023,OG,PA,5/18/1983,8275.0,SENW 15-137-100,TEXAS OIL & GAS CORP.,LUCY FRITZ 3,ROCKY RIDGE
25347,,3300701794,OG,PA,1/25/2019,9170.0,SW,,,
