name,filer_id
"ACALYX ADVISORS, INC.",1382165
ACCESS SECURITIES LLC,1336255
ACKLER & ASSOCIATES,F24625
"ACORN WEST ASSOCIATES, INC.",1435150
"ACTUM CA OPCO, LLC",1442425
"ADAMS BROADWELL JOSEPH & CARDOZO, A PROFESSIONAL CORPORATION",F20469
"ADVOCACY & MANAGEMENT GROUP, INC.",1251132
ADVOCATE RESOURCE AND TRAINING (ART),1342868
"AGEE GLOBAL SOLUTIONS, LLC",1448810
"AJW, INC.",1376890
AKIN GUMP STRAUSS HAUER & FELD LLP,1377892
ALANIS GROUP; THE,1400866
ALCANTAR LAW GROUP LLP,1432839
ALL AMERICAN ADVOCACY LLC,1442160
ANTIN INFRASTRUCTURE PARTNERS US SERVICES LLC,1427090
APEX GROUP; THE,F24082
"APREA & MICHELI, INC.",F24851
"ARC STRATEGIES, LLC",1414706
ARENA PUBLIC AFFAIRS LLC,1428952
ARMSTRONG; BETSY,1354232
ARNOLD & ASSOCIATES,F00930
ARNOLD & PORTER KAYE SCHOLER LLP,1388612
AROZ CONSULTANTS LLC,1329225
"ARROW ADVOCACY, LLC",1426897
ASANTE CAPITAL GROUP ADVISORS LLC,1342629
"ASTOR & KINGSLAND, LLP",1327800
ASTOR; LAW OFFICES OF JOHN KELLY,1441964
"ATLANTIC STRATEGIES, LLC",1451939
AXIOM ADVISORS,1414020
BACK GOVERNMENT RELATIONS; MATT,1352864
BACKES; GLENN,1314994
"BAKER & WELSH, LLC",1416779
BALANCE PUBLIC RELATIONS & STRATEGIC SOLUTIONS INC.,1376172
"BALL/FROST GROUP, LLC.",F22039
"BARROS, LLC; LEAH",1437114
"BECKER & POLIAKOFF, PA",1437898
BEEVERS; NICK,1449492
BELL STRATEGIES; KATE,1437630
"BELL, MC ANDREWS & HILTACHK, LLP",F24784
BERRY; MARK,1392601
BEST BEST & KRIEGER LLP,1285845
BETTENCOURT GOVERNMENT RELATIONS,1390945
BETTER WORLD GROUP ADVISORS,1377009
"BLACK STRATEGIES, INC.; STEVE",1406517
"BLANNING AND BAKER ASSOCIATES, INC.",1289913
BLATTNER & ASSOCIATES,1286979
"BLONIEN, A PROFESSIONAL LAW CORPORATION; J.",F24767
