name,filer_id
BLOOMSTINE & BLOOMSTINE,1235092
BLUE COAST STRATEGIES,1437911
BOLLINGER GOVERNMENT AFFAIRS,1415775
BOLTZ; ERIN,1449741
BOSTIC; MORGAN,1435851
"BOSTON PARTNERS SECURITIES, LLC",1338067
BOURNE & ASSOCIATES,F24573
BRANDENBURG GROUP,1362017
BRATTLE ADVISORS LLC,1355293
BREVAN HOWARD US LLC,1336000
BROAD & GUSMAN,F24615
BROWN & ASSOCIATES; LAURA,F24503
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",F24890
BROYDRICK AND ASSOCIATES,1443943
BRYANT GOVERNMENT AFFAIRS,1377383
"BUCHALTER, A PROFESSIONAL CORPORATION",1277078
BUCHEN CONSULTING,1437455
"C.N.P.A. SERVICES, INC.",F24771
CAL CONNECTED LLC,1362958
CALIBER STRATEGIES,1405378
"CALIFORNIA ADVISORS, LLC",1334301
CALIFORNIA ADVOCACY LLC,1405234
"CALIFORNIA ADVOCATES, INC.",F00729
CALIFORNIA CAPITOLIO STRATEGIES LLC,1435432
"CALIFORNIA CODE CONSULTANTS, LLC",1435195
"CALIFORNIA HEALTH POLICY STRATEGIES, LLC",1419081
CALIFORNIA POLICY SOLUTIONS,1403038
"CALIFORNIA RESOURCE STRATEGIES, INC.",1234564
CALIFORNIA STRATEGIC ADVISORS,1294814
"CALIFORNIA STRATEGIES & ADVOCACY, LLC",1273600
CALIFORNIA TOMORROW,1444610
CAMPBELL LUTYENS & CO. INC.,1335638
CAMPBELL STRATEGY & ADVOCACY,1382722
CANDLEWOOD INVESTORS,1408546
CANYON SNOW CONSULTING,1373800
CAPELL & ASSOCIATES,F24716
"CAPITAL REPRESENTATION GROUP, INC.",F00861
CAPITOL ADVISORS GROUP LLC,1348782
"CAPITOL ADVOCACY, LLC",F24917
CAPITOL ADVOCATES,1232985
CAPITOL COMMUNICATIONS GROUP,F23001
CAPITOL CONNECTION,F00717
"CAPITOL CORE GROUP, INC.",1396744
CAPITOL LAW AND POLICY INC.,1404586
"CAPITOL PARTNERS, LLC",1297424
"CAPITOL STRATEGIC ADVISORS, LLC",1339224
"CAPITOL STRATEGIES GROUP, INC.",F00909
CAPITOLO AND ASSOCIATES LLC; JENNIFER M.,1425054
CARDINAL ADVOCACY LLC,1437314
"CARILLON TOWER ADVISERS, INC.",1415351
CARLSON & ASSOCIATES; STEVE,F00074
CARPENTER SIEVERS LLC,1275439
"CARTER, WETCH & ASSOCIATES",1252406
CAUSES TO CARE ABOUT,1438566
"CE STRATEGIES, LLC.",1435932
CHAFE; BONNIE,1276650
CHIA STRATEGIES,1445353
CHONG STRATEGIC CONSULTING OF; RACHELLE,1361290
"CIBC PRIVATE WEALTH ADVISORS, INC.",1455348
CLARK HILL LLP,1435435
CLARK HILL LLP,1435435
"CLEAR ADVOCACY, LLC",1354236
CM3 ADVOCACY,1425240
"COBLENTZ, PATCH, DUFFY & BASS LLP",1321982
CONDON; CAITLIN,1436557
CONKLIN; DAMON,1400887
CONOVER; GARY H.,1223438
CONSCIOUS VENTURES GROUP,1419700
CONSERVATION STRATEGY GROUP LLC,F24529
CONSUMER ADVOCACY,F24836
"COOPER, LEGISLATIVE ADVOCATE; GARY S.",F21789
CORBETT & ASSOCIATES; MICHAEL Y.,F23077
"CORBIN AND KAISER, LLC",1347730
COVINGTON & BURLING LLP,F24669
COWGER & ASSOCIATES,F21409
CRISCOM COMPANY; THE,1279189
"CRUZ STRATEGIES, LLC",1401529
"CSP SECURITIES, LP",1340015
CURRY AND ASSOCIATES; PAUL R.,1259789
"CVC FUNDING, LLC",1415097
DE FILIPPO; MARGARET,1454850
"DELGADO GOVERNMENT AFFAIRS, LLC",1414784
DESMOND & DESMOND LLC,F00741
DEWEY SQUARE GROUP,1305400
DIAZ AND ASSOCIATES,1294298
"DIER ASSOCIATES, LLC",1388156
DIVERSION STRATEGIES,1400307
DOHERTY LAW GROUP,1415160
DOWDEN AND ASSOCIATES; HR,F24903
DUNN CONSULTING,1287544
EARTH ADVOCACY,1425990
EASTDIL SECURED ADVISORS,1423258
"ECLIPSE GOVERNMENT AFFAIRS, LLC",1375215
ECOCONSULT,F24662
"EDELSTEIN, GILBERT, ROBSON & SMITH, LLC",F00980
"EDGAR & ASSOCIATES, INC.",F24806
"EDGELINE CAPITAL, LLC",1334586
EDMOND GROUP LLC,1443740
"EDUCATION ADVOCATES, LLC",1255431
EISLER CAPITAL (US) LLC,1445027
"ELLISON WILSON ADVOCACY, LLC",F00641
EMANUELS JONES AND ASSOCIATES,F20023
EMPIRICAL POLICY,1424846
ENGLANDER KNABE & ALLEN,1339161
ENGSTROM; JENNIFER,1443038
ENVIRONMENTAL AND ENERGY CONSULTING,1371848
ERG SECURITIES (US) LLC,1405976
EVERYDAY IMPACT CONSULTING,1423840
"EWING, SANFORD",1392670
